numMintedSecondaryEvents,numSNXHolders,numsUSDHolders
4140,2649,2647

account,totalDeposited,SNX,sUSD
0xDDB4ae08438057FCfA323b20910f79912723a550,1.075084466101289866,0.0,0.0
0x5ff1769487DeA379F17BE2788635E3BdcA8ABED7,36.6610464,0.0,0.0
0xfb702e95Fa231C5509487a9E99156003985FdB9e,17.093948978384124515,0.0,0.0
0xA6B49397ce21bb62200e914F41BF371E5940Bb41,503.45829925470415505,67.854921792606173933,176.253159356294536085
0xCFE5a00d05E4b36cDAD34eaB799C03A06f61d8CC,1228.002956396239817326,0.0,0.0
0x66Ea2F829D4392bEf3B4B01e86dA0985962eDc5C,2.688845000000000015,0.0,0.0
0x1aDcF07389b1F6605C44a7683c50A5243829A92C,85.200233461403016994,0.0,0.0
0x73bCA04BEB6a5A56969Df1a1E7C4B6209852CD87,1193.545959744832943282,484.862880118054187622,1643.014556785470470672
0xA727E8D3E0fb1f6Fc6Db8E330cD4cC6F6Bb35F58,3653.491123559273212745,0.0,0.0
0x25c97BBc9Aef0785BADa0e4a0Cc01800BADF21F1,2320.798586580169432766,579.5,1898.870105534279758878
0x2046F4D48E2857eE2BfBbfE59E07937F31dBf361,222.911759571111876591,20.959162232884334637,0.0
0xc2C933144e27AD8Bb914e5fB99985C2572804e9F,6.972434974889108565,0.0,0.0
0xfb3F0661D1564A4F4FEf61Bf1a50CC5621301D23,1131.73162086,553.12,1899.997253333333327139
0xba2ef5189B762bd4C9E7f0b50fBBaB65193935e8,40.916217369237021291,35.859435650866733786,126.108156294707163308
0x915C4580dFFD112db25a6cf06c76cDd9009637b7,273.682277822922514201,118.903102538465498103,352.914654513532321907
0x62B98747d2449A93e2F43E3a4CB3a5b5B0376FF4,89.25,0.0,0.0
0x7186Ce946a1BC87680fF0ED8E5d684Ad27B3734d,75.992578540884202834,30.098768517209625588,100.0
0x0ae24412441d1E3f332D574d31adaF4fFA627cDe,345.376228827190043605,0.0,0.0
0xb91d29F6C4C32efd1899438cEbfe45c2F23943FD,126.85,0.0,0.0
0x8322C00CaB37c8a00b127A3aAAC08d49c7Fa0025,680.999,0.0,0.0
0xe0b56bCA567BE6dAA6dD3E95d484f892a9151089,19.935176,0.0,0.0
0x1e74746756544eB4307F0529940f41Bfb069a1a1,80.69415387,0.0,0.0
0xFda1215797D29414E588B2e62fC390Ee2949aaAA,10310.948320405457543863,0.0,0.0
0x1AE74F5f0d55d82ab60B381cacec1445eAa1B26a,410.8,352.8,1004.11192844794525733
0xcA52D74Ff57FdD472485Ed6C30219E2861E0988B,583.85318201,429.39818201,1434.764233469477648687
0xFb6351b09A52db13D9255cAaF0a12aFF16AD973F,68.51,0.0,0.0
0x532Aee65c69D335f2fC5890F1aBc65e34D72CE01,10.50297839486995012,0.0,0.0
0xCb016db66774BD5dd798fC3Ac9c3BfcC06d68c84,1523.871258609526245805,386.29187905227134338,1150.678902097922654859
0xE7Ed69B5B87088e5c6400D652D1b08180113d0fc,1578.206485873512610604,0.0,0.0
0x601Fc8BE66979183ad2Bc77ed58610F9a580C9b5,1495.727975387041669601,220.035487176428462377,0.0
0x674eC0ea9E288289B0523aAC263411157fBDc83a,37.19227659357209542,33.9512846314270016,118.982386344921322841
0xb4c5355f35e0FC4A3dAFC55F64319416e154FB11,109.619266132375231654,0.0,0.0
0x488787C86e4F21011e9F8b635E2aa2F960f07fC8,1250.799338395870350606,0.0,0.0
